GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
lab07,geojson,Metadata,3,0,0,0,1,0,1,0,1,0
lab07,geojson,FeatureCollection,38,0,0,0,12,0,3,0,3,0
lab07,geojson,Feature,3,0,0,0,1,0,1,0,1,0
lab07,geojson,Properties,3,0,0,0,1,0,1,0,1,0
lab07,edu.ucsb.cs56.w20.lab07.controllers,AdminController,217,0,18,0,50,0,15,0,6,0
lab07,edu.ucsb.cs56.w20.lab07.controllers,AppUsersController,106,0,8,0,26,0,7,0,3,0
lab07,edu.ucsb.cs56.w20.lab07.controllers,ApplicationController,28,5,0,0,6,2,2,2,2,2
lab07,edu.ucsb.cs56.w20.lab07.controllers,EarthquakesController,36,0,0,0,9,0,3,0,3,0
lab07,edu.ucsb.cs56.w20.lab07.formbeans,EqSearch,23,0,0,0,10,0,5,0,5,0
lab07,edu.ucsb.cs56.w20.lab07.services,ValidEmailService,19,0,2,0,7,0,3,0,2,0
lab07,edu.ucsb.cs56.w20.lab07.services,MembershipService,30,0,10,0,8,0,7,0,2,0
lab07,edu.ucsb.cs56.w20.lab07.services,EarthquakeQueryService,106,0,0,0,23,0,2,0,2,0
lab07,edu.ucsb.cs56.w20.lab07.services,GoogleMembershipService,156,0,24,0,36,0,22,0,10,0
lab07,edu.ucsb.cs56.w20.lab07.entities,Admin,39,0,0,0,16,0,8,0,8,0
lab07,edu.ucsb.cs56.w20.lab07.entities,AppUser,33,0,0,0,15,0,8,0,8,0
lab07,edu.ucsb.cs56.w20.lab07,Config,9,0,0,0,3,0,2,0,2,0
lab07,edu.ucsb.cs56.w20.lab07,Application,5,53,0,0,2,17,1,2,1,2
lab07,edu.ucsb.cs56.w20.lab07.advice,AuthControllerAdvice,96,0,10,0,22,0,16,0,11,0
